Day,Temp,Humid,DurationHours
17412,28.0,71.0,0.0366987
17413,27.285714285714285,70.14285714285714,0.015696025
17414,28.647058823529413,67.94117647058823,0.116150425
17415,28.0,63.6,0.0443113125
17416,28.0,62.0,0.398490675
17419,28.0,62.0,0.19979702500000002
17420,28.304347826086957,62.30434782608695,0.10578904166666667
17422,28.0,46.0,0.21568285833333334
17424,28.0,46.0,0.25421181666666665
17425,28.0,46.0,0.08136674583333334
17426,28.0,46.0,0.07533342916666667
17427,28.0,46.0,0.10284707083333333
17428,28.0,46.0,0.15962416666666668
17431,28.0,46.0,0.5880023
17432,28.0,46.0,0.1338072125
17436,28.0,46.0,0.19653756666666666
17437,28.0,46.0,0.16940818333333332
17439,28.0,46.0,0.09985859583333334
17441,28.0,46.0,0.5082920708333334
17443,28.0,46.0,0.23700522916666666
17446,26.0,46.0,1.2263255958333334
17447,27.125,42.5,0.3164535333333333
17448,27.846153846153847,54.15384615384615,0.16367361666666666
17449,27.857142857142858,40.857142857142854,0.0757492125
17450,27.875,59.375,0.19207529583333333
